mine_id,relationship,company
25750,operator,Hindustan Zinc Limited
25750,owner,Hindustan Zinc Limited
25751,operator,Washington H. Soul Pattinson and Company Limited
25751,owner,Washington H. Soul Pattinson and Company Limited
25753,operator,Laguna Gold Limited
25753,owner,Laguna Gold Limited
25754,operator,First Quantum Minerals Limited
25754,owner,First Quantum Minerals Limited
25755,operator,NA
25755,owner,NA
25760,operator,Trafigura Beheer B.V.
25760,owner,Government of Abu Dhabi
25761,operator,Vale S.A.
25761,owner,Vale S.A.
25784,operator,BHP Group
25784,owner,BHP Group
25785,operator,Miramar Mining Corp
25785,owner,Newmont Corporation
25787,operator,Kirkland Lake Gold Ltd.
25787,owner,Kirkland Lake Gold Ltd.
25788,operator,NA
25788,owner,Goldcorp Incorporated
25789,operator,NA
25789,owner,NA
25790,operator,Agnico Eagle Mines Limited
25790,owner,Agnico Eagle Mines Limited
25791,operator,NA
25791,owner,NA
25792,operator,Newmont Corporation
25792,owner,Newmont Corporation
25796,operator,Banks Island Gold Limited
25796,owner,Banks Island Gold Limited
25806,operator,NA
25806,owner,NA
25807,operator,Barrick Gold Corporation
25807,owner,Barrick Gold Corporation
25808,operator,Barrick Gold Corporation
25808,owner,Barrick Gold Corporation
25809,operator,Trevali Mining Corporation
25809,owner,Trevali Mining Corporation
25818,operator,Sibanye-Stillwater Limited
25818,owner,Sibanye-Stillwater Limited
25820,operator,Trevali Mining Corporation
25820,owner,Trevali Mining Corporation
25821,operator,Equinox Gold Corp.
25821,owner,Equinox Gold Corp.
25824,operator,Metallurgical Corporation of China Ltd.
25824,owner,Metallurgical Corporation of China Ltd.
25826,operator,Zijin Mining Group Company Limited
25826,owner,Barrick Gold Corporation
25829,operator,China African Precious Metals (Pty) Ltd
25829,owner,China African Precious Metals (Pty) Ltd
25831,operator,Nyrstar N.V.
25831,owner,Nyrstar N.V.
25841,operator,Lithium One Inc
25841,owner,Lithium One Inc
25851,operator,CaNickel Mining Limited
25851,owner,CaNickel Mining Limited
25856,operator,Gold-Water Inc
25856,owner,Gold-Water Inc
25871,operator,Bonterra Resources Inc.
25871,owner,Bonterra Resources Inc.
25875,operator,St Barbara Limited
25875,owner,St Barbara Limited
25876,operator,Pan American Silver Corp.
25876,owner,Pan American Silver Corp.
25884,operator,BYG Natural Resources Inc.
25884,owner,BYG Natural Resources Inc.
25886,operator,Pan American Silver Corp.
25886,owner,Pan American Silver Corp.
25890,operator,Hecla Mining Company
25890,owner,Hecla Mining Company
25900,operator,NA
25900,owner,NA
25906,operator,Abcourt Mines Inc.
25906,owner,Abcourt Mines Inc.
25911,operator,NA
25911,owner,NA
25912,operator,Alamos Gold Inc.
25912,owner,Alamos Gold Inc.
25913,operator,Kirkland Lake Gold Ltd.
25913,owner,Kirkland Lake Gold Ltd.
25921,operator,Argonaut Gold Inc.
25921,owner,Argonaut Gold Inc.
25923,operator,NA
25923,owner,NA
25926,operator,Battle North Gold Corporation
25926,owner,Battle North Gold Corporation
25927,operator,Wesdome Gold Mines Limited
25927,owner,Wesdome Gold Mines Limited
25931,operator,Monarch Mining Corporation
25931,owner,Monarch Mining Corporation
25940,operator,Seabridge Gold Inc.
25940,owner,Seabridge Gold Inc.
25944,operator,SSR Mining Inc.
25944,owner,SSR Mining Inc.
25949,operator,McAdam Resources Inc.
25949,owner,McAdam Resources Inc.
25951,operator,Pretium Resources Incorporated
25951,owner,Pretium Resources Incorporated
25956,operator,Gowest Gold Limited
25956,owner,Gowest Gold Limited
25963,operator,NA
25963,owner,NA
25967,operator,NA
25967,owner,NA
25969,operator,Sutter Gold Mining Inc.
25969,owner,Sutter Gold Mining Inc.
25971,operator,NA
25971,owner,NA
25974,operator,Western Gold Exploration Ltd (Mingold Resour
25974,owner,Western Gold Exploration Ltd (Mingold Resour
25979,operator,Impala Platinum Holdings Limited
25979,owner,Impala Platinum Holdings Limited
25991,operator,Newmont Corporation
25991,owner,Newmont Corporation
25992,operator,Western Copper and Gold Corporation
25992,owner,Western Copper and Gold Corporation
26003,operator,Indigenous and Northern Affairs Canada (Nunavut)
26003,owner,Indigenous and Northern Affairs Canada (Nunavut)
26006,operator,Agnico Eagle Mines Limited
26006,owner,Agnico Eagle Mines Limited
26008,operator,Avalon Advanced Materials Inc.
26008,owner,Avalon Advanced Materials Inc.
26010,operator,NA
26010,owner,NA
26015,operator,NA
26015,owner,NA
26017,operator,IAMGOLD Corporation
26017,owner,IAMGOLD Corporation
26019,operator,Kirkland Lake Gold Ltd.
26019,owner,Kirkland Lake Gold Ltd.
26020,operator,Agnico Eagle Mines Limited
26020,owner,Agnico Eagle Mines Limited
26023,operator,Eldorado Gold Corporation
26023,owner,Eldorado Gold Corporation
26031,operator,Newmont Corporation
26031,owner,Newmont Corporation
26032,operator,PHI Gold Corp.
26032,owner,PHI Gold Corp.
26035,operator,NA
26035,owner,NA
26038,operator,Nyrstar N.V.
26038,owner,Nyrstar N.V.
26049,operator,Evolution Mining Limited
26049,owner,Evolution Mining Limited
26056,operator,NA
26056,owner,NA
26065,operator,Hudbay Minerals Inc.
26065,owner,Hudbay Minerals Inc.
26066,operator,NA
26066,owner,NA
26073,operator,Glencore Plc
26073,owner,Glencore Plc
26085,operator,QMX Gold Corporation
26085,owner,QMX Gold Corporation
26088,operator,Newmont Corporation
26088,owner,Newmont Corporation
26090,operator,NA
26090,owner,NA
26091,operator,Bonterra Resources Inc.
26091,owner,Bonterra Resources Inc.
26092,operator,St Barbara Limited
26092,owner,St Barbara Limited
26094,operator,St Barbara Limited
26094,owner,St Barbara Limited
26095,operator,Globex Mining Enterprises Inc.
26095,owner,Globex Mining Enterprises Inc.
26096,operator,Pembridge Resources plc
26096,owner,Pembridge Resources plc
26098,operator,NA
26098,owner,NA
26102,operator,Nyrstar N.V.
26102,owner,Nyrstar N.V.
26105,operator,Copper Mountain Mining Corporation
26105,owner,Copper Mountain Mining Corporation
26117,operator,Wesdome Gold Mines Limited
26117,owner,Wesdome Gold Mines Limited
26123,operator,Osisko Gold Royalties Ltd.
26123,owner,Osisko Gold Royalties Ltd.
26132,operator,CBay Minerals Inc.
26132,owner,Ocean Partners Holdings Limited
26140,operator,Nippon Dragon Resources Inc.
26140,owner,Nippon Dragon Resources Inc.
26147,operator,NA
26147,owner,NA
26150,operator,Titan Mining Corporation
26150,owner,Titan Mining Corporation
26158,operator,Hecla Mining Company
26158,owner,Hecla Mining Company
26159,operator,NA
26159,owner,NA
26164,operator,Mahdia Gold Corporation
26164,owner,Mahdia Gold Corporation
26167,operator,Newmont Corporation
26167,owner,Newmont Corporation
26174,operator,Glencore Plc
26174,owner,Glencore Plc
26176,operator,NA
26176,owner,Formosa Resources Corp
26177,operator,Agnico Eagle Mines Limited
26177,owner,Agnico Eagle Mines Limited
26183,operator,Newcrest Mining Limited
26183,owner,Newcrest Mining Limited
26184,operator,AngloGold Ashanti Limited
26184,owner,AngloGold Ashanti Limited
26187,operator,Barrick Gold Corporation
26187,owner,Barrick Gold Corporation
26189,operator,Mandalay Resources Corporation
26189,owner,Mandalay Resources Corporation
26191,operator,Lida Resources Inc.
26191,owner,Lida Resources Inc.
26203,operator,NA
26203,owner,NA
26205,operator,Glencore Plc
26205,owner,Glencore Plc
26208,operator,St Barbara Limited
26208,owner,St Barbara Limited
26210,operator,NA
26210,owner,NA
26211,operator,CBay Minerals Inc.
26211,owner,Ocean Partners Holdings Limited
26212,operator,Western States Minerals Corp
26212,owner,Western States Minerals Corp
26217,operator,NA
26217,owner,NA
26219,operator,NA
26219,owner,NA
26222,operator,Kinross Gold Corporation
26222,owner,Kinross Gold Corporation
26223,operator,NA
26223,owner,NA
26226,operator,Laguna Finance Ltd.
26226,owner,Laguna Finance Ltd.
26230,operator,NA
26230,owner,Evolution Mining Limited
26243,operator,Republic Goldfields Inc.
26243,owner,Republic Goldfields Inc.
26257,operator,Avino Silver & Gold Mines Ltd.
26257,owner,Avino Silver & Gold Mines Ltd.
26258,operator,Peninsula Energy Limited
26258,owner,Peninsula Energy Limited
26259,operator,Golden Band Resources Inc.
26259,owner,Golden Band Resources Inc.
26270,operator,NA
26270,owner,NA
26277,operator,Kirkland Lake Gold Ltd.
26277,owner,Kirkland Lake Gold Ltd.
26280,operator,NA
26280,owner,NA
26296,operator,NA
26296,owner,NA
26301,operator,NA
26301,owner,NA
26302,operator,NA
26302,owner,NA
26308,operator,Alexco Resource Corporation
26308,owner,Alexco Resource Corporation
26316,operator,Kirkland Lake Gold Ltd.
26316,owner,Kirkland Lake Gold Ltd.
26318,operator,Glencore Plc
26318,owner,Glencore Plc
26319,operator,Barrick (Kalgoorlie) Limited
26319,owner,Barrick Gold Corporation
26320,operator,Central Coast Exploration NL
26320,owner,Central Coast Exploration NL
