iso_3,agriculture_type,total_star
UKR,Crops,760.0100375
UKR,Livestock,348.009567
UMI,Crops,0
UMI,Livestock,0
URY,Crops,2483.949498
URY,Livestock,1770.527367
USA,Crops,16568.12512
USA,Livestock,11091.35383
UZB,Crops,111.0211169
UZB,Livestock,175.3392326
VCT,Crops,529.3702142
VCT,Livestock,0
VEN,Crops,17500.73569
VEN,Livestock,5187.655068
VGB,Crops,0.020858215
VGB,Livestock,46.4196167
VIR,Crops,2.482913285
VIR,Livestock,0.583342195
VNM,Crops,10542.02302
VNM,Livestock,156.8979215
VUT,Crops,770.8919924
VUT,Livestock,23.14931677
WLF,Crops,1.586165149
WLF,Livestock,0
WSM,Crops,1561.440213
WSM,Livestock,40.39223194
YEM,Crops,469.7154022
YEM,Livestock,428.9128525
ZAF,Crops,9988.229838
ZAF,Livestock,7564.610766
ZMB,Crops,1085.846586
ZMB,Livestock,453.8549583
ZWE,Crops,1001.113588
ZWE,Livestock,625.8421057
